plant	deficiency	light	date	time	NL	H	Fv.Fm	RMR	LMR	SMR	TDM	RAD	RLR	Chl_a	Chl_b	Chl_a.b	Chl_total
10SN	(-) N	High	2018-09-19	1	4	3.3	0.721										
11SN	(-) N	High	2018-09-19	1	4	5	0.737										
12SN	(-) N	High	2018-09-19	1	4	5.5	0.764										
13SN	(-) N	High	2018-09-19	1	7	9	0.800										
14SN	(-) N	High	2018-09-19	1	4	3.7	0.637										
15SN	(-) N	High	2018-09-19	1	5	7	0.727										
16SN	(-) N	High	2018-09-19	1	6	7.9	0.741										
17SN	(-) N	High	2018-09-19	1	5	5.7	0.766										
18SN	(-) N	High	2018-09-19	1	4	4.7	0.709										
19SN	(-) N	High	2018-09-19	1	5	4	0.791										
1SN	(-) N	High	2018-09-19	1	5	5.1	0.721										
20SN	(-) N	High	2018-09-19	1	8	6.9	0.781										
2SN	(-) N	High	2018-09-19	1	5	4.6	0.758										
3SN	(-) N	High	2018-09-19	1	5	4	0.739										
4SN	(-) N	High	2018-09-19	1	5	4	0.763										
5SN	(-) N	High	2018-09-19	1	4	6.5	0.737										
6SN	(-) N	High	2018-09-19	1	4	6	0.746										
7SN	(-) N	High	2018-09-19	1	6	7	0.744										
8SN	(-) N	High	2018-09-19	1	5	3.5	0.745										
9SN	(-) N	High	2018-09-19	1	5	5.3	0.741										
10SN	(-) N	High	2018-09-27	2	5	5.3	0.243										
11SN	(-) N	High	2018-09-27	2	4	5.3	0.667										
12SN	(-) N	High	2018-09-27	2	5	5.5	0.701										
13SN	(-) N	High	2018-09-27	2	6	10	0.662										
14SN	(-) N	High	2018-09-27	2	5	5	0.327										
15SN	(-) N	High	2018-09-27	2	6	7	0.661										
16SN	(-) N	High	2018-09-27	2	5	8.4	0.676										
17SN	(-) N	High	2018-09-27	2	5	6	0.668										
18SN	(-) N	High	2018-09-27	2	5	4	0.540										
19SN	(-) N	High	2018-09-27	2	5	4.5	0.629										
1SN	(-) N	High	2018-09-27	2	4	5	0.665										
20SN	(-) N	High	2018-09-27	2	8	7	0.549										
2SN	(-) N	High	2018-09-27	2	5	4.5	0.709										
3SN	(-) N	High	2018-09-27	2	5	5	0.658										
4SN	(-) N	High	2018-09-27	2	6	5.7	0.719										
5SN	(-) N	High	2018-09-27	2	5	6	0.707										
6SN	(-) N	High	2018-09-27	2	4	6.5	0.683										
7SN	(-) N	High	2018-09-27	2	5	7	0.601										
8SN	(-) N	High	2018-09-27	2	5	4.7	0.685										
9SN	(-) N	High	2018-09-27	2	4	4.8	0.676										
10SN	(-) N	High	2018-10-04	3	3	5.3	0.475										
11SN	(-) N	High	2018-10-04	3	4	5.3	0.705										
12SN	(-) N	High	2018-10-04	3	5	5.5	0.669										
13SN	(-) N	High	2018-10-04	3	6	10	0.471										
14SN	(-) N	High	2018-10-04	3	4	5	0.716										
15SN	(-) N	High	2018-10-04	3	6	7	0.711										
16SN	(-) N	High	2018-10-04	3	4	8.4	0.214										
17SN	(-) N	High	2018-10-04	3	6	6	0.701										
18SN	(-) N	High	2018-10-04	3	4	4	0.737										
19SN	(-) N	High	2018-10-04	3	6	4.5	0.739										
1SN	(-) N	High	2018-10-04	3	5	5	0.741										
20SN	(-) N	High	2018-10-04	3	8	7	0.595										
2SN	(-) N	High	2018-10-04	3	4	4.5	0.759										
3SN	(-) N	High	2018-10-04	3	5	5	0.723										
4SN	(-) N	High	2018-10-04	3	6	5.7	0.727										
5SN	(-) N	High	2018-10-04	3	5	6	0.701										
6SN	(-) N	High	2018-10-04	3	5	6.5	0.731										
7SN	(-) N	High	2018-10-04	3	4	7	0.440										
8SN	(-) N	High	2018-10-04	3	5	4.7	0.781										
9SN	(-) N	High	2018-10-04	3	5	4.8	0.647										
10N	(-) N	High	2018-10-11	4	4	4.7	0.409	0.456	0.322	0.222	0.208	2.119	1.413				
11N	(-) N	High	2018-10-11	4	4	5.5	0.745	0.478	0.381	0.141	0.367	3.522	1.253				
12N	(-) N	High	2018-10-11	4	5	5.9	0.243	0.439	0.401	0.161	0.609	2.968	1.095				
13N	(-) N	High	2018-10-11	4	5	9.7	0.770	0.371	0.346	0.283	0.827	1.598	1.071				
14N	(-) N	High	2018-10-11	4	4	5.5	0.693	0.468	0.333	0.199	0.295	2.449	1.406				
15N	(-) N	High	2018-10-11	4	5	6.7	0.762	0.472	0.346	0.182	0.402	2.731	1.362				
16N	(-) N	High	2018-10-11	4	6	9	0.663	0.464	0.308	0.229	0.508	2.183	1.506				
17SN	(-) N	High	2018-10-11	4	6	6.8	0.630							0.951	1.429	0.665	2.381
18SN	(-) N	High	2018-10-11	4	5	5.2	0.685							1.149	1.747	0.658	2.895
19N	(-) N	High	2018-10-11	4	6	5.4	0.663	0.467	0.399	0.134	0.529	3.687	1.170				
1N	(-) N	High	2018-10-11	4	5	5.4	0.658	0.440	0.396	0.164	0.465	2.873	1.112				
20SN	(-) N	High	2018-10-11	4	8	8	0.389							1.382	2.220	0.623	3.602
2SN	(-) N	High	2018-10-11	4	5	3.9	0.244							1.119	1.797	0.623	2.916
3N	(-) N	High	2018-10-11	4	5	4.8	0.715	0.458	0.389	0.153	0.440	3.155	1.179				
4N	(-) N	High	2018-10-11	4	6	6	0.393	0.442	0.402	0.156	0.609	3.085	1.100				
5SN	(-) N	High	2018-10-11	4	5	5.5	0.185							1.076	1.606	0.670	2.682
6N	(-) N	High	2018-10-11	4	5	7.2	0.686	0.371	0.410	0.219	0.520	1.903	0.904				
7N	(-) N	High	2018-10-11	4	4	7	0.484	0.403	0.399	0.198	0.450	2.218	1.011				
8N	(-) N	High	2018-10-11	4	5	4.5	0.299	0.489	0.401	0.110	0.445	4.608	1.221				
9N	(-) N	High	2018-10-11	4	5	6.1	0.206	0.419	0.420	0.161	0.451	2.788	0.997				
21SN	(-) N	Low	2018-09-19	1	5	5.9	0.785										
22SN	(-) N	Low	2018-09-19	1	5	8	0.823										
23SN	(-) N	Low	2018-09-19	1	7	7.4	0.803										
24SN	(-) N	Low	2018-09-19	1	5	7	0.788										
25SN	(-) N	Low	2018-09-19	1	5	6.7	0.807										
26SN	(-) N	Low	2018-09-19	1	4	4.4	0.815										
27SN	(-) N	Low	2018-09-19	1	4	4.5	0.772										
28SN	(-) N	Low	2018-09-19	1	4	5	0.806										
29SN	(-) N	Low	2018-09-19	1	9	6.7	0.819										
30SN	(-) N	Low	2018-09-19	1	5	5.5	0.766										
31SN	(-) N	Low	2018-09-19	1	4	4.5	0.801										
32SN	(-) N	Low	2018-09-19	1	5	5.9	0.741										
33SN	(-) N	Low	2018-09-19	1	4	5	0.750										
34SN	(-) N	Low	2018-09-19	1	4	6.2	0.768										
35SN	(-) N	Low	2018-09-19	1	6	7.5	0.822										
36SN	(-) N	Low	2018-09-19	1	5	6.2	0.780										
37SN	(-) N	Low	2018-09-19	1	3	6	0.797										
38SN	(-) N	Low	2018-09-19	1	4	4.2	0.782										
39SN	(-) N	Low	2018-09-19	1	4	5	0.803										
40SN	(-) N	Low	2018-09-19	1	4	6.3	0.786										
21SN	(-) N	Low	2018-09-27	2	6	6.6	0.752										
22SN	(-) N	Low	2018-09-27	2	5	8.7	0.742										
23SN	(-) N	Low	2018-09-27	2	7	8.7	0.756										
24SN	(-) N	Low	2018-09-27	2	5	7.5	0.765										
25SN	(-) N	Low	2018-09-27	2	6	7.4	0.768										
26SN	(-) N	Low	2018-09-27	2	5	5.2	0.760										
27SN	(-) N	Low	2018-09-27	2	5	5.5	0.775										
28SN	(-) N	Low	2018-09-27	2	5	6	0.761										
29SN	(-) N	Low	2018-09-27	2	9	7.5	0.765										
30SN	(-) N	Low	2018-09-27	2	5	6.1	0.740										
31SN	(-) N	Low	2018-09-27	2	5	5.5	0.745										
32SN	(-) N	Low	2018-09-27	2	6	6.6	0.728										
33SN	(-) N	Low	2018-09-27	2	5	5.5	0.730										
34SN	(-) N	Low	2018-09-27	2	5	6.5	0.733										
35SN	(-) N	Low	2018-09-27	2	7	8	0.753										
36SN	(-) N	Low	2018-09-27	2	5	6.1	0.709										
37SN	(-) N	Low	2018-09-27	2	4	6.5	0.756										
38SN	(-) N	Low	2018-09-27	2	4	4.3	0.741										
